Bezeichung,Kosten €,Durchmesser mm,Min. Biegeradius mm,Mechanische Zugfestigkeit N,Betriebstemperatur °C,Widerstand Ω,Spannungsfestigkeit kV
Kabel 28301,5.8,2,11.6,80,-24,22,4.2
Kabel 28302,8.7,2.3,17.5,90,-23,22,4
Kabel 28303,7.2,2.5,10.7,80,52,20,5.5
Kabel 28304,5.2,2.5,8.7,60,116,17,5.3
Kabel 28305,7.8,1.8,23.6,60,-15,20,3.8
Kabel 28306,2.4,2.1,12.1,70,18,14,5.2
Kabel 28307,9.3,2.2,27.5,70,-5,22,4.7
Kabel 28308,9.5,1.7,21.8,60,68,14,4.2
Kabel 28309,6.2,1.9,17,60,-13,17,4.9
Kabel 28310,5.2,2.7,24.5,70,-29,22,2.2
Kabel 28311,1.8,2.4,20.1,60,-20,25,4.1
Kabel 28312,4.1,2.8,16.9,80,125,23,5.9
Kabel 28313,7.7,2,11.5,60,62,25,5.1
Kabel 28314,3.9,2.2,10.1,80,117,18,2.3
Kabel 28315,6.8,2.1,9.1,70,137,18,3.5
Kabel 28316,5.7,1.8,15.5,90,44,24,4
Kabel 28317,5.5,2.4,19.8,80,87,25,2.9
Kabel 28318,3,2.3,12.2,90,15,13,4.7
Kabel 28319,8.6,2,25.6,70,7,21,5.6
Kabel 28320,1.2,2,21.1,60,86,13,2.8
Kabel 28321,1.8,1.9,12.1,80,34,23,5.1
Kabel 28322,2.3,2.1,9.5,100,-34,23,2
Kabel 28323,4.9,2,11,100,-9,27,3.3
Kabel 28324,3.2,2.5,8.2,50,48,19,6
Kabel 28325,2.3,1.7,24,70,44,21,3.8
Kabel 28326,9.6,2.1,24.4,100,-33,14,4.2
Kabel 28327,8.4,2.1,26.2,60,27,24,2.2
Kabel 28328,1.6,1.9,10.6,80,0,26,2.4
Kabel 28329,3.8,2.5,13.4,70,103,26,5.5
Kabel 28330,1.8,1.9,23.8,100,21,23,6
Kabel 28331,1.9,2.7,21.6,50,28,21,4.4
Kabel 28332,5.7,2.7,24.8,80,136,21,3.9
Kabel 28333,8.8,1.8,18.9,80,61,15,5.7
Kabel 28334,8.5,2.1,22,100,-8,13,3.1
Kabel 28335,5.2,2.6,26.7,70,150,21,4.9
Kabel 28336,3.2,2.1,12.1,80,47,26,5.2
Kabel 28337,2.3,2.2,10,70,-2,22,3.9
Kabel 28338,1.9,2,23.5,80,148,22,4.6
Kabel 28339,3.9,2.2,16.8,60,92,23,4.2
Kabel 28340,7,2,17.9,100,6,14,4.4
Kabel 28341,3,1.8,26.1,60,124,18,2.5
Kabel 28342,3.3,2.3,13,60,64,22,4.4
Kabel 28343,9.7,2,11.6,60,-6,21,2.9
Kabel 28344,1.1,1.9,20.2,100,45,18,5.4
Kabel 28345,5.5,2.7,25.7,90,102,19,5.2
Kabel 28346,2.6,1.7,20.8,80,115,16,3.7
Kabel 28347,2.4,2.7,15.4,100,-15,17,4.2
Kabel 28348,8.3,2.1,12.2,50,124,22,3.8
Kabel 28349,3.6,2.6,24.6,60,44,22,2.7
Kabel 28350,8.7,2,15,60,-6,26,3.1
Kabel 28351,9.6,2.2,20.1,70,-10,26,2.1
Kabel 28352,6.3,2.4,17.1,60,10,20,3.3
Kabel 28353,4,2.8,13.7,100,124,15,2.4
Kabel 28354,7.9,2.2,21.5,70,-34,18,5.5
Kabel 28355,3.9,1.8,16.3,70,147,27,3.6
Kabel 28356,3.2,1.9,9.9,100,62,20,5.8
Kabel 28357,3.4,2.4,17.7,60,44,25,4.7
Kabel 28358,3.4,2.5,22.3,60,39,17,4.2
Kabel 28359,8.4,2.6,16.2,100,19,17,2.1
Kabel 28360,5.8,2.7,16,50,71,24,5.2
Kabel 28361,7.1,2.1,20.6,50,38,25,5.1
Kabel 28362,8.1,2.1,27.2,70,140,16,3.1
Kabel 28363,10,1.7,22.1,70,89,25,2
Kabel 28364,2.4,2.7,18.8,90,111,15,4.6
Kabel 28365,7,1.7,13.5,80,138,20,6
Kabel 28366,3.7,2.4,11.2,100,15,21,5.8
Kabel 28367,8.1,2.4,12.6,90,95,25,3.5
Kabel 28368,4.3,2.5,27.5,70,38,26,5.3
Kabel 28369,6.1,2.8,9.4,80,2,21,5.6
Kabel 28370,5.8,2.1,9.3,90,-27,21,3.5
Kabel 28371,1.3,2.7,17.7,80,125,19,3.2
Kabel 28372,5.1,2.7,20.3,80,68,22,4.9
Kabel 28373,9.5,1.9,18,70,107,26,4.3
Kabel 28374,3.8,2.7,14.6,60,88,16,4.2
Kabel 28375,2.5,1.9,22.1,100,10,17,2.5
Kabel 28376,7.9,2.6,13.9,80,-39,13,3.8
Kabel 28377,2.9,2.4,15.7,80,34,22,5.1
Kabel 28378,8.3,2.3,10.4,90,31,18,3.4
Kabel 28379,9.3,2.8,14.1,100,67,21,2.6
Kabel 28380,8.9,2.1,17.6,100,-2,20,4.5
Kabel 28381,9.7,2.7,17,70,91,16,5.2
Kabel 28382,1.6,2.5,14.7,50,-32,25,4.2
Kabel 28383,1.3,2.5,22,60,132,22,3.8
Kabel 28384,9.6,2.7,13,70,-6,14,5
Kabel 28385,8.7,1.6,16.2,50,76,16,4.1
Kabel 28386,3.3,2.5,18.5,80,78,19,2.1
Kabel 28387,9.9,2.4,12.5,80,69,23,5.7
Kabel 28388,6.1,2.3,15.2,90,117,24,3
Kabel 28389,9.4,2.3,21.4,100,111,16,4.5
Kabel 28390,1.7,1.9,9.6,50,144,18,4.4
Kabel 28391,7,1.8,21,90,125,23,3.6
Kabel 28392,8,2.2,27.4,60,22,19,3.5
Kabel 28393,7.8,1.8,26,80,51,24,4.9
Kabel 28394,7.1,2,26.6,90,-33,15,4.6
Kabel 28395,8.5,1.7,12.2,80,-23,21,4
Kabel 28396,2.8,2,11.7,60,119,24,5
Kabel 28397,2.2,1.8,24.7,80,93,21,4.9
Kabel 28398,2.4,1.9,22.8,80,36,21,3.3
Kabel 28399,2.9,2.2,26.1,90,148,14,4.6
Kabel 28400,4.9,1.9,12.5,90,2,25,5.7
Kabel 28401,7.1,2.6,15.5,80,138,15,5.6
Kabel 28402,8.6,1.9,10.5,90,150,22,3.6
Kabel 28403,8,2.5,20.2,50,10,27,4.2
Kabel 28404,9.6,1.8,19.1,60,95,13,5.4
Kabel 28405,3.6,2.5,12.6,100,-11,15,4.7
Kabel 28406,5.1,2,25.3,70,49,27,3.6
Kabel 28407,4.9,2.2,14.8,90,145,14,5.4
Kabel 28408,7.8,2.2,19.9,50,145,17,2.2
Kabel 28409,2,2.4,8.3,80,86,24,3.6
Kabel 28410,7.9,1.9,28,80,137,14,3.3
Kabel 28411,8.7,2.2,26.1,80,79,20,2.6
Kabel 28412,9.8,2,21.2,100,85,25,4.4
Kabel 28413,2,1.7,18.5,90,57,16,4.2
Kabel 28414,1.4,2.8,14.7,80,-29,27,3.6
Kabel 28415,9.6,2.6,18.9,70,13,14,2.6
Kabel 28416,3,1.7,21.9,60,80,25,5.1
Kabel 28417,4.7,1.8,21.8,50,32,16,2.5
Kabel 28418,4,2.8,22.8,90,18,14,3.2
Kabel 28419,2.2,1.9,26,90,-33,22,5.6
Kabel 28420,2.7,2.1,12.9,50,108,19,3
Kabel 28421,6.5,2.3,21.5,90,72,19,3.4
Kabel 28422,6.3,1.9,25.3,90,107,26,4.7
Kabel 28423,6.3,2.1,17.4,60,-28,16,5.5
Kabel 28424,10,2.4,23.5,70,69,24,5.9
Kabel 28425,10,1.8,22.1,50,112,19,4.6
Kabel 28426,6.1,2,9,100,105,20,5.6
Kabel 28427,5.6,1.8,13,60,109,19,5.6
Kabel 28428,2.4,2.6,14.9,100,-28,17,2.9
Kabel 28429,7,1.6,14.2,60,139,25,4.5
Kabel 28430,5.5,2.4,21.9,70,46,19,5.7
Kabel 28431,9.9,2.2,13.2,70,32,20,4.6
Kabel 28432,2.7,2.6,16.7,60,74,23,2
Kabel 28433,5.8,1.8,18.1,90,-13,23,3.4
Kabel 28434,9.7,2.7,26.9,100,53,19,3.7
Kabel 28435,4.5,2.8,14.9,90,139,23,4.9
Kabel 28436,7.3,1.7,23.1,80,-29,15,4.7
Kabel 28437,3.6,2.4,25.3,60,14,23,4.5
Kabel 28438,8.9,2.4,13.2,50,70,17,4.1
Kabel 28439,4.7,2.2,26.9,70,37,26,2.8
Kabel 28440,6.5,2.2,22.7,60,-39,17,3.5
Kabel 28441,6.3,2.4,16.8,90,29,24,3.6
Kabel 28442,8.7,2.5,12.6,60,14,16,5.9
Kabel 28443,6.2,2.2,8.4,50,42,16,5.3
Kabel 28444,3.6,1.7,14.3,80,130,19,4
Kabel 28445,3.7,2.8,23.1,90,25,16,5.6
Kabel 28446,1.2,1.9,9.4,70,-28,22,5.8
Kabel 28447,7.3,2.7,8.9,90,148,17,4.9
Kabel 28448,8.6,2.8,21.6,90,81,22,2.8
Kabel 28449,9.5,1.8,10.9,90,23,14,2
Kabel 28450,8.1,2.8,16.8,60,149,18,4.8
Kabel 28451,6.8,2.3,13.3,100,94,24,5.6
Kabel 28452,3.8,2.6,11.4,50,-28,13,2.5
Kabel 28453,5.3,1.7,19.2,60,71,22,3
Kabel 28454,4.3,2,11.7,50,108,13,3.6
Kabel 28455,6.7,2,14.3,100,17,18,4.8
Kabel 28456,7.3,2.6,18.6,60,143,25,4.9
Kabel 28457,9,1.9,24.2,60,32,17,5.1
Kabel 28458,8.1,1.7,23.4,100,39,22,3.2
Kabel 28459,9,2,8.3,80,94,15,3.7
Kabel 28460,4.8,1.6,8.7,60,60,15,5.8
Kabel 28461,2.8,1.9,10.7,90,40,24,5.5
Kabel 28462,7.1,2,11.7,70,44,21,2.9
Kabel 28463,5,2.3,22,100,0,20,2.6
Kabel 28464,1.8,2.5,26.6,90,-15,25,2.3
Kabel 28465,3.3,2.7,24.5,60,26,22,3.5
Kabel 28466,1.7,2.3,26.7,100,104,21,5
Kabel 28467,5.4,2.2,8.1,60,112,13,2.8
Kabel 28468,5.9,2.4,19.9,90,41,13,4.6
Kabel 28469,1.6,1.6,23.7,70,146,20,2.6
Kabel 28470,2,1.9,20.1,90,120,26,5.1
Kabel 28471,4,2.2,25.6,100,89,26,5.3
Kabel 28472,9.5,1.8,9.8,60,127,17,5.7
Kabel 28473,9.9,2.3,16.8,90,-25,25,4.6
Kabel 28474,1.9,2.2,9.8,90,113,27,2.3
Kabel 28475,7.1,2.1,25.4,50,128,25,4
Kabel 28476,4.4,2.8,25.2,80,83,27,5.7
Kabel 28477,6.6,1.9,8.5,80,6,15,3
Kabel 28478,3.7,2.6,21.4,90,47,16,3.5
Kabel 28479,3.9,2.6,21.9,100,104,27,5.8
Kabel 28480,7,1.9,18.8,50,59,19,5.7
Kabel 28481,3,2,17.3,100,92,19,3.8
Kabel 28482,4.8,2.4,26.3,100,112,14,5.3
Kabel 28483,4,1.8,13.3,60,85,20,3.2
Kabel 28484,4,2.3,17.6,50,56,18,5.2
Kabel 28485,3.2,2.6,20.2,90,145,21,5.8
Kabel 28486,8.6,2,16.9,100,-4,24,2.5
Kabel 28487,4.8,1.7,12.4,50,-24,21,2.9
Kabel 28488,2.2,2.2,13.9,80,120,20,3.3
Kabel 28489,2.3,2.3,25.9,50,87,15,4.4
Kabel 28490,4.5,2.7,18.3,70,-14,23,3.9
Kabel 28491,6.2,2.2,24.5,60,6,15,3.2
Kabel 28492,5.5,2.4,12.1,60,-31,18,3.2
Kabel 28493,3.1,2,26.3,100,31,21,2.2
Kabel 28494,6.7,2,24.5,80,-34,18,2.8
Kabel 28495,6.2,2.6,10.7,60,124,26,2
Kabel 28496,8.6,1.9,13.9,80,1,23,4.2
Kabel 28497,8.1,2.2,24.9,90,119,21,5.7
Kabel 28498,7.2,2.2,22.9,50,-28,15,5.1
Kabel 28499,8.6,2,17.2,90,76,15,5.4
Kabel 28500,6,2.3,10.5,80,120,18,2.9
Kabel 28501,5.5,2.4,9.3,80,70,27,5.9
Kabel 28502,3.7,2,23.5,70,120,22,2.5
Kabel 28503,8.4,1.9,11,50,18,17,4
Kabel 28504,2.2,2.2,9.8,70,74,13,4.7
Kabel 28505,1.5,1.9,24.2,60,149,17,5
Kabel 28506,2.2,2.2,23.3,60,100,22,5.9
Kabel 28507,9.5,2.2,11.9,70,126,19,4
Kabel 28508,8.9,1.7,16.1,80,26,15,2.8
Kabel 28509,2.3,2.3,23.7,50,115,21,5.8
Kabel 28510,9.2,1.9,15.9,90,96,23,2.3
Kabel 28511,2.5,1.8,11.3,60,28,26,4.9
Kabel 28512,4.5,2.8,12.2,60,114,16,4
Kabel 28513,7.6,2.1,14.8,70,120,25,4.7
Kabel 28514,5.2,2,21.2,70,-7,14,2.3
Kabel 28515,2.5,2.1,25.1,60,-25,13,4.5
Kabel 28516,7,2.3,17.8,100,37,18,3.3
Kabel 28517,7,1.9,26.6,80,25,23,2.6
Kabel 28518,6.4,2.2,14.6,60,-25,14,4
Kabel 28519,6.6,2.7,17,100,64,19,4.2
Kabel 28520,5.1,2.2,14,80,78,18,2.7
Kabel 28521,7.7,2,20.9,60,71,17,3.5
Kabel 28522,9.5,1.8,27,100,-13,23,5
Kabel 28523,8.4,1.7,21.1,80,102,14,2.4
Kabel 28524,6.4,2.5,25,60,120,21,5.3
Kabel 28525,6.5,2.1,12.4,60,53,20,4.8
Kabel 28526,2.6,1.7,9.8,100,145,19,4.9
Kabel 28527,8.4,1.9,11.9,60,124,26,3
Kabel 28528,5.8,1.6,9.2,60,114,17,3.2
Kabel 28529,8,1.6,17,90,127,21,3
Kabel 28530,5.8,2.1,18.2,80,49,18,4
Kabel 28531,3.1,2.2,14,90,41,20,5.5
Kabel 28532,6.2,2.5,15.2,100,-26,18,4.4
Kabel 28533,7.9,2.6,10.4,90,60,17,4.8
Kabel 28534,8,2.3,20.7,70,144,20,3.2
Kabel 28535,8.8,2.5,27.7,80,2,14,4
Kabel 28536,1.3,1.6,18.7,100,42,18,3.3
Kabel 28537,3.5,1.9,26.1,60,82,23,2.3
Kabel 28538,8.2,2,24.5,100,55,26,5.9
Kabel 28539,1.6,2.7,9.5,70,142,25,2.8
Kabel 28540,8.4,2.7,10,90,19,22,4.8
Kabel 28541,7.7,2.2,17.2,100,62,16,3.6
Kabel 28542,8.5,1.9,10.5,70,-10,21,4.9
Kabel 28543,3.9,2.8,9.6,80,92,23,2.8
Kabel 28544,7.9,2.3,20.1,80,44,18,4.9
Kabel 28545,4.3,1.9,19.6,90,63,22,3.2
Kabel 28546,4.4,2,25,90,128,14,2.2
Kabel 28547,9.9,2.3,16.8,80,19,18,5.2
Kabel 28548,6.7,2.7,24.8,60,116,23,2.2
Kabel 28549,2,2.5,25.3,80,98,15,2.2
Kabel 28550,6.8,1.8,16.9,90,139,21,5.7
Kabel 28551,7.6,2.1,25.3,80,100,23,5.2
Kabel 28552,9.4,1.8,15.2,80,45,22,5.7
Kabel 28553,5,2.5,21.5,100,-6,20,4.4
Kabel 28554,6.4,2.4,18.1,50,104,17,4
Kabel 28555,9.4,2.4,12.3,80,139,21,5.9
Kabel 28556,6.1,2.7,20.8,50,14,23,5.5
Kabel 28557,6.1,2.1,21.3,90,135,17,2.9
Kabel 28558,5.8,1.6,8.7,80,20,15,5.8
Kabel 28559,9.1,2.2,17.5,70,127,23,5.4
Kabel 28560,4,2,25.1,80,119,23,3.7
Kabel 28561,7,2.4,12.9,80,118,20,2.4
Kabel 28562,2,2,25.9,60,59,19,4.4
Kabel 28563,6.9,2.4,10.5,100,34,22,3.8
Kabel 28564,8.8,1.9,25,60,147,25,4
Kabel 28565,3,2.7,14.7,60,120,24,2
Kabel 28566,6.3,2.4,21.1,50,67,16,4.9
Kabel 28567,7.6,2.3,19.7,60,1,15,4.7
Kabel 28568,9,2.4,21.4,50,-23,24,3.6
Kabel 28569,2.2,1.6,11.2,80,48,24,3.6
Kabel 28570,1.7,2.4,24.3,90,81,23,3.5
Kabel 28571,10,2.5,20.5,60,-24,20,3.1
Kabel 28572,5.2,2.2,23.8,90,26,24,3
Kabel 28573,8,2.1,22.4,60,22,14,2.7
Kabel 28574,6,1.8,23.5,60,-23,18,4.6
Kabel 28575,2.5,1.8,20.1,70,122,24,2.6
Kabel 28576,9.9,1.7,10.7,90,15,16,2.5
Kabel 28577,9.8,2.4,10.4,60,-15,18,3.2
Kabel 28578,3.2,1.6,15.5,90,128,26,2.7
Kabel 28579,6.8,2.2,9.6,100,16,21,5.2
Kabel 28580,7,2.6,21.7,50,98,22,2.5
Kabel 28581,1.6,2,9.8,100,120,16,2.5
Kabel 28582,8.2,2.1,13.1,100,-39,22,5.5
Kabel 28583,7,1.9,19.1,100,35,23,4.2
Kabel 28584,8.3,2.7,13.9,80,106,26,3.5
Kabel 28585,9.9,1.9,27.6,90,131,17,5.4
Kabel 28586,3.6,1.7,27,90,72,14,2.8
Kabel 28587,8,2.6,12.7,90,87,18,4.5
Kabel 28588,5.6,1.9,21.5,90,107,25,2.7
Kabel 28589,7.1,2,13.5,50,123,17,2.1
Kabel 28590,5.6,1.9,19.1,60,24,26,4.9
Kabel 28591,10,2.7,20,90,7,17,4
Kabel 28592,7.1,1.7,13.4,90,95,17,5.3
Kabel 28593,6.7,2.3,12,80,19,18,3.5
Kabel 28594,2.5,1.7,11.4,60,-26,22,4.2
Kabel 28595,2.2,2.8,25.8,80,1,21,3.1
Kabel 28596,8.2,2.5,16.1,80,33,16,5.7
Kabel 28597,2.3,2,11.9,70,149,18,2.2
Kabel 28598,6.2,1.7,23.3,60,88,19,5.8
Kabel 28599,3.4,1.9,27.6,70,14,22,5.7
Kabel 28600,2.5,2.3,15.7,80,17,16,5.5
Kabel 28601,2.1,2.7,17.4,100,-28,18,2.6
Kabel 28602,7.3,2.8,11.8,50,-35,17,4.6
Kabel 28603,7.1,2.7,8.2,90,-18,24,2.3
Kabel 28604,6,2.2,27.9,60,57,20,4.2
Kabel 28605,8.8,1.7,14.2,50,44,14,5
Kabel 28606,6.3,2.8,22.8,70,129,26,5.4
Kabel 28607,6.9,2.3,16.8,70,-38,15,5.3
Kabel 28608,9.2,2.4,17.8,100,60,22,5
Kabel 28609,6.5,2.1,8.6,100,40,16,3.8
Kabel 28610,4.7,2.5,15.5,90,142,21,2.2
Kabel 28611,8.2,1.7,22.6,60,111,26,2.1
Kabel 28612,4,1.9,24.7,60,-21,16,4.3
Kabel 28613,5.9,2,25,60,89,15,3.4
Kabel 28614,7.4,2.7,13.3,90,107,26,5.3
Kabel 28615,8.4,2.5,19.4,90,22,24,4
Kabel 28616,7.1,2.4,21.9,90,24,15,4
Kabel 28617,7.9,2.7,15.9,70,138,27,2.9
Kabel 28618,6.6,2,22.4,90,95,27,4.2
Kabel 28619,7.1,1.7,13.8,60,113,24,2.5
Kabel 28620,3.8,1.9,13.4,80,-36,14,2.8
Kabel 28621,8.8,2.5,17.1,60,24,25,2.7
Kabel 28622,2.3,2.1,26.7,90,-5,23,4.8
Kabel 28623,9.4,2.1,17,50,55,15,2.5
Kabel 28624,9.8,2,10.5,90,28,17,4.7
Kabel 28625,8.1,2.4,15.6,60,37,16,4.8
Kabel 28626,9.4,2.2,10.5,60,87,22,3.2
Kabel 28627,4.5,1.9,18,60,-14,24,2.5
Kabel 28628,8.9,2,15.1,60,102,21,4.4
Kabel 28629,4.4,1.8,21.3,70,49,26,4.6
Kabel 28630,4.8,2.2,24,60,55,21,2.6
Kabel 28631,1,1.8,22.8,60,69,16,3.6
Kabel 28632,3.9,1.8,23.1,80,-38,18,2.6
Kabel 28633,7.9,2.5,14.1,80,-26,20,5.7
Kabel 28634,5.7,2.1,23,80,65,19,5.5
Kabel 28635,1.5,1.6,25.5,80,77,18,4.2
Kabel 28636,6.1,1.7,13.4,70,102,15,5
Kabel 28637,5.9,1.8,25.3,60,134,20,5.5
Kabel 28638,1.9,2.7,14.8,90,136,26,5.3
Kabel 28639,5.2,2.6,18.1,50,-15,18,4.8
Kabel 28640,3.7,2.2,15.2,50,-36,21,3.9
Kabel 28641,6.5,2.4,25.2,90,53,21,4.6
Kabel 28642,9.5,2.4,11.4,70,92,25,5
Kabel 28643,6.9,2.4,14.8,80,1,21,3.5
Kabel 28644,8.2,2,10.4,60,-18,13,3.6
Kabel 28645,6.8,2.2,14.3,90,81,20,4.3
Kabel 28646,3,2.6,15.2,50,145,21,3
Kabel 28647,6,1.9,25,80,43,21,2.1
Kabel 28648,8.5,1.9,16.7,90,2,22,5.7
Kabel 28649,6.2,1.7,9.1,60,-2,25,2.4
Kabel 28650,4.5,2.2,17.8,70,97,16,5.2
Kabel 28651,9.8,2.4,20.4,60,-31,17,4.5
Kabel 28652,7.5,2,16.1,70,147,21,3.6
Kabel 28653,1.6,2.1,13.3,50,74,18,5.9
Kabel 28654,6.8,2.3,27,60,55,21,3
Kabel 28655,6.8,1.7,11.1,80,16,22,5.6
Kabel 28656,8.6,2.1,22.3,60,136,24,3.3
Kabel 28657,7.1,2.4,24.8,50,150,18,3.3
Kabel 28658,1.9,2.6,19.2,90,98,15,3.6
Kabel 28659,6.2,2.4,23.7,60,7,14,2.5
Kabel 28660,2.3,2.6,23.6,80,65,14,5.1
Kabel 28661,5.4,2,18.9,70,42,21,3.7
Kabel 28662,9,2.2,17.6,60,-24,25,2.9
Kabel 28663,3.8,2.2,23.1,60,129,21,4.1
Kabel 28664,2.1,1.9,21.5,80,99,13,5.9
Kabel 28665,2.8,2.2,26.4,80,37,22,5.1
Kabel 28666,5.9,2.5,12.5,80,36,21,2.1
Kabel 28667,1.5,2.6,27.3,80,84,14,5.5
Kabel 28668,9.1,1.7,11.1,60,41,14,2.3
Kabel 28669,4.6,1.9,22.8,80,8,14,3.6
Kabel 28670,3.6,2.4,10.4,90,145,21,2.9
Kabel 28671,2.9,2.7,15.6,80,-1,24,6
Kabel 28672,6.4,2.4,19.9,100,97,16,2.3
Kabel 28673,9.3,2.8,22.8,80,38,19,3.2
Kabel 28674,4.9,2,25.1,90,121,26,2.3
Kabel 28675,1.7,1.7,16.3,100,-22,19,3.2
Kabel 28676,7.7,1.9,17.2,60,72,26,4
Kabel 28677,8.6,2.4,10.1,90,-27,17,3.6
Kabel 28678,8.7,1.8,26.2,70,-16,24,4.3
Kabel 28679,4.2,2.7,10.3,60,106,15,3.6
Kabel 28680,7.8,2.4,26.6,60,29,20,2.5
Kabel 28681,4.3,1.8,27.8,90,54,15,2.7
Kabel 28682,7.1,1.7,17.9,50,123,21,2.3
Kabel 28683,8.2,2.5,17.2,70,113,16,2.6
Kabel 28684,1.7,1.8,8.3,80,-2,24,4.4
Kabel 28685,4.6,2,16.8,60,19,21,5.4
Kabel 28686,5.1,2.4,10.5,60,136,23,5.3
Kabel 28687,9.2,1.8,12.3,90,-33,17,5.7
Kabel 28688,3.3,1.8,9.1,60,132,22,2.4
Kabel 28689,6.5,2.1,9.5,60,-16,17,4
Kabel 28690,8.4,2.2,13.8,90,118,16,3.5
Kabel 28691,5.2,1.7,19.1,80,114,22,4.4
Kabel 28692,1.1,2.6,25.2,90,-32,19,2.3
Kabel 28693,4,2.6,16.7,90,10,25,5.9
Kabel 28694,3.9,2.3,18.1,70,54,15,4
Kabel 28695,8.4,2.7,10,60,112,24,2.3
Kabel 28696,8.4,1.9,20.6,80,33,19,3.8
Kabel 28697,7.2,2.2,10.6,50,8,26,2.2
Kabel 28698,9.4,2.7,19.2,50,144,18,2
Kabel 28699,8.6,2,15,100,-33,15,5.8
Kabel 28700,2.4,1.9,26.6,90,93,21,4.4
Kabel 28701,9,2.4,25.5,80,90,19,5
Kabel 28702,2,1.7,15.3,70,-22,23,5.2
Kabel 28703,8.3,2.5,26.8,90,19,27,5.7
Kabel 28704,5.1,2.7,17.7,100,111,16,2.4
Kabel 28705,9.2,1.9,8.1,70,-7,14,5.3
Kabel 28706,9.5,2.2,12.6,70,138,18,2
Kabel 28707,9,1.9,15.7,60,-35,17,3.9
Kabel 28708,3.9,1.7,11.6,100,13,26,3.7
Kabel 28709,9,1.9,25.3,80,110,27,4.2
Kabel 28710,1.8,2.6,25.9,80,-10,26,6
Kabel 28711,6.3,1.8,18.4,50,28,16,2.6
Kabel 28712,10,1.7,21.4,80,11,23,2.6
Kabel 28713,8.2,2.6,26.2,70,-23,16,3.6
Kabel 28714,3.5,2.3,11.9,70,-5,13,5.7
Kabel 28715,9.6,2.3,11.4,80,-33,17,5.1
Kabel 28716,2.6,2.1,21.7,100,59,25,5.2
Kabel 28717,9.6,2.3,17,60,-31,21,4.2
Kabel 28718,8.6,2.1,8,60,120,14,3.1
Kabel 28719,2.6,2.5,14.6,60,89,22,5
Kabel 28720,4.7,2.6,24.3,80,64,24,5.6
Kabel 28721,9.1,2.7,20.9,80,108,23,5.5
Kabel 28722,2.1,2.6,23,80,91,18,4
Kabel 28723,4,2.7,27.5,80,57,24,3.4
Kabel 28724,2.2,2.1,22.9,100,15,17,3.4
Kabel 28725,4,2.2,24,90,87,18,5.9
Kabel 28726,6.5,1.8,27,70,-5,26,4.4
Kabel 28727,5.7,2.7,11.7,50,94,16,3.4
Kabel 28728,4.8,2.1,26.6,80,61,20,5.3
Kabel 28729,8.8,1.8,8,80,88,18,2.4
Kabel 28730,2.3,2.6,11.9,60,109,13,5.3
Kabel 28731,6.2,2.7,10.7,60,-15,24,4.6
Kabel 28732,2,1.8,9.5,70,49,15,3
Kabel 28733,3,2,26.1,80,58,16,3.8
Kabel 28734,5.7,1.7,17.5,60,47,14,6
Kabel 28735,3.2,1.7,10.1,80,103,20,3.2
Kabel 28736,4.4,2.4,24.1,70,-17,22,3.8
Kabel 28737,6.1,1.6,17.5,70,121,15,3
Kabel 28738,1.7,1.7,17.4,70,122,19,4.2
Kabel 28739,8.3,2.4,22.7,60,111,15,4.7
Kabel 28740,7.4,2.3,23.6,60,105,21,5.4
Kabel 28741,6.3,2.1,20.5,100,47,25,4.8
Kabel 28742,2,1.8,24.8,90,69,16,4.6
Kabel 28743,4.3,2,11.1,90,109,25,2.2
Kabel 28744,6,2.5,12.8,100,95,23,4.2
Kabel 28745,6.7,1.7,21.2,50,-0,21,4.9
Kabel 28746,9.8,2.7,20.8,60,59,24,4.3
Kabel 28747,5.8,1.9,16.1,50,16,17,4.3
Kabel 28748,7.9,2.2,9.8,90,118,19,2.5
Kabel 28749,5.9,1.6,25.2,60,-3,23,5.2
Kabel 28750,8.3,2.8,14.9,90,83,20,4.5
Kabel 28751,6.6,1.9,22.2,60,88,16,3.3
Kabel 28752,6.5,2.4,8.5,80,113,16,5.2
Kabel 28753,6.2,1.7,24.3,70,-28,23,4.6
Kabel 28754,7.5,2.7,25.7,60,134,26,4
Kabel 28755,9.3,1.9,11.3,70,93,25,4.5
Kabel 28756,6.3,2.4,9.9,70,127,17,2.9
Kabel 28757,5.4,1.9,28,100,66,20,4.8
Kabel 28758,7.1,1.8,25.8,60,53,24,4.6
Kabel 28759,1,2.5,15.5,90,53,20,4.4
Kabel 28760,7.7,2.3,26.8,100,-34,17,5
Kabel 28761,5.2,2.4,21.5,90,60,18,2.5
Kabel 28762,9.1,2.3,24.3,60,85,14,5.3
Kabel 28763,5.7,2.1,21.1,70,26,22,4.2
Kabel 28764,1.1,2.1,14.6,90,32,24,4.3
Kabel 28765,8.3,2.3,25.9,90,130,14,3.8
Kabel 28766,5.7,2.6,19.6,70,-29,20,5.5
Kabel 28767,6.7,2.7,14.2,90,-22,14,5.3
Kabel 28768,5.6,2.6,21.3,80,-20,18,2.1
Kabel 28769,9.6,1.7,20.5,80,146,15,3
Kabel 28770,3,2.1,13.8,90,126,22,2.7
Kabel 28771,2.6,1.9,22.2,80,100,19,4.5
Kabel 28772,2.4,2.5,25.9,100,136,24,2.5
Kabel 28773,6.4,2.3,24.5,50,101,13,4.7
Kabel 28774,1.2,1.7,12.2,70,-27,27,3.7
